"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","Depth","Water1","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
1,"2010-05-01",70,58,64,11,53,58,1,0,448,1849,"RA BR",0,"M",0,0.11,28.89,29.6,9.1,21,9.4
2,"2010-05-01",71,61,66,"M",54,59,0,1,"-","-","RA","M","M","M",0.01,28.95,29.59,7.4,22,8.1
1,"2010-05-02",69,53,61,7,52,56,4,0,447,1850,"RA BR",0,"M",0,0.93,28.9,29.61,4.4,25,6.1
2,"2010-05-02",68,54,61,"M",52,56,4,0,"-","-","RA BR","M","M","M",0.31,28.97,29.6,2.8,26,6.9
1,"2010-05-03",72,50,61,7,45,53,4,0,446,1851," ",0,"M",0,0,29.07,29.77,8.8,25,9.4
2,"2010-05-03",72,52,62,"M",45,53,3,0,"-","-"," ","M","M","M",0,29.13,29.77,8.9,25,9.5
1,"2010-05-04",79,50,65,11,44,54,0,0,444,1852," ",0,"M",0,0,29.05,29.77,13.9,21,14.2
2,"2010-05-04",80,53,67,"M",43,54,0,2,"-","-"," ","M","M","M",0,29.13,29.78,12.1,21,12.6
1,"2010-05-05",72,56,64,9,37,51,1,0,443,1853," ",0,"M",0,"  T",29.08,29.77,10.2,27,12.8
2,"2010-05-05",73,57,65,"M",37,51,0,0,"-","-"," ","M","M","M","  T",29.15,29.77,9.7,27,12.1
1,"2010-05-06",63,46,55,0,39,46,10,0,442,1855,"TSRA",0,"M",0,0.01,29.27,29.99,5.7,3,9.1
2,"2010-05-06",60,48,54,"M",39,46,11,0,"-","-"," ","M","M","M",0.05,29.33,29.99,5.9,6,10.1
1,"2010-05-07",59,45,52,-3,46,48,13,0,441,1856,"TSRA RA BR",0,"M",0,0.72,28.98,29.73,2.6,34,13.2
2,"2010-05-07",59,46,53,"M",46,49,12,0,"-","-","TSRA RA BR","M","M","M",0.74,29.04,29.73,3.7,31,13.8
1,"2010-05-08",50,42,46,-10,35,41,19,0,439,1857,"RA",0,"M",0,0.02,29.36,30.05,14.5,30,15.2
2,"2010-05-08",50,42,46,"M",35,41,19,0,"-","-","RA","M","M","M",0.08,29.42,30.06,13.6,29,14.4
1,"2010-05-09",58,38,48,-8,29,40,17,0,438,1858," ",0,"M",0,0,29.59,30.31,2.5,35,6.4
2,"2010-05-09",56,37,47,"M",29,40,18,0,"-","-"," ","M","M","M",0,29.66,30.32,1.8,6,5.9
1,"2010-05-10",58,41,50,-6,31,42,15,0,437,1859,"RA",0,"M",0,"  T",29.47,30.24,13.5,11,14.2
2,"2010-05-10",58,43,51,"M",29,42,14,0,"-","-","RA","M","M","M","  T",29.54,30.25,12.5,12,13
1,"2010-05-11",52,44,48,-9,46,47,17,0,436,1860,"RA DZ BR",0,"M",0,0.97,29.16,29.9,5.6,9,9.9
2,"2010-05-11",59,44,52,"M",46,48,13,0,"-","-","RA BR","M","M","M",0.72,29.21,29.89,3,12,10.4
1,"2010-05-12",51,44,48,-9,45,46,17,0,435,1901,"TSRA RA FG BR",0,"M",0,0.12,29.36,30.1,8.9,6,10.4
2,"2010-05-12",53,46,50,"M",45,47,15,0,"-","-","TSRA RA DZ BR HZ","M","M","M",0.14,29.41,30.09,8.3,6,10
1,"2010-05-13",73,48,61,3,53,55,4,0,434,1902,"TSRA RA BR",0,"M",0,1.49,29.23,29.93,4.8,25,12.3
2,"2010-05-13",78,49,64,"M",54,57,1,0,"-","-","TSRA RA BR","M","M","M",0.97,29.28,29.93,5.9,25,13.4
1,"2010-05-14",66,47,57,-1,44,50,8,0,433,1903," ",0,"M",0,0,29.46,30.17,10.9,26,11.2
2,"2010-05-14",67,49,58,"M",43,51,7,0,"-","-"," ","M","M","M",0,29.52,30.17,11.9,26,12.3
1,"2010-05-15",61,43,52,-6,42,48,13,0,432,1904," ",0,"M",0,0,29.53,30.26,4.1,4,5.8
2,"2010-05-15",63,47,55,"M",41,48,10,0,"-","-"," ","M","M","M",0,29.59,30.25,4,5,6.4
1,"2010-05-16",66,41,54,-5,43,49,11,0,431,1905," ",0,"M",0,0,29.44,30.18,9.7,5,10.1
2,"2010-05-16",66,46,56,"M",43,50,9,0,"-","-"," ","M","M","M",0,29.48,30.17,11.1,5,11.5
1,"2010-05-17",58,50,54,-5,42,48,11,0,430,1906,"RA",0,"M",0,0.01,29.29,30.04,9.6,3,9.8
2,"2010-05-17",60,52,56,"M",43,49,9,0,"-","-","RA DZ","M","M","M",0.11,29.35,30.03,7.9,3,8.8
1,"2010-05-18",65,46,56,-4,40,48,9,0,429,1907," ",0,"M",0,0,29.26,29.99,9.1,3,9.8
2,"2010-05-18",62,49,56,"M",41,48,9,0,"-","-"," ","M","M","M",0,29.31,29.98,9.6,2,10.1
1,"2010-05-19",74,44,59,-1,39,51,6,0,428,1908," ",0,"M",0,0,29.31,30.02,5.7,4,6.4
2,"2010-05-19",73,46,60,"M",39,50,5,0,"-","-"," ","M","M","M",0,29.36,30.02,6.4,4,7.3
1,"2010-05-20",74,47,61,0,49,55,4,0,427,1909,"RA",0,"M",0,0.05,29.29,30.02,6.8,13,7.8
2,"2010-05-20",72,51,62,"M",49,55,3,0,"-","-","RA","M","M","M",0.09,29.35,30.02,6.3,12,7.4
1,"2010-05-21",73,56,65,4,58,60,0,0,426,1910,"RA DZ BR HZ",0,"M",0,0.21,29.15,29.88,4.6,10,6.3
2,"2010-05-21",72,56,64,"M",58,60,1,0,"-","-","RA DZ BR","M","M","M",0.4,29.21,29.87,5,12,6.2
1,"2010-05-22",74,58,66,5,59,61,0,1,425,1911,"FG+ BR HZ",0,"M",0,0,29.23,29.94,3.4,12,5.4
2,"2010-05-22",72,58,65,"M",59,61,0,0,"-","-","FG+ FG BR HZ","M","M","M",0.01,29.29,29.94,2.7,9,6.1
1,"2010-05-23",89,62,76,15,66,69,0,11,425,1912," ",0,"M",0,0,29.26,29.97,9.8,18,10
2,"2010-05-23",89,65,77,"M",65,69,0,12,"-","-"," ","M","M","M",0,29.33,29.96,9.7,18,10
1,"2010-05-24",91,70,81,19,67,72,0,16,424,1913," ",0,"M",0,0,29.33,30.03,6.6,14,8.2
2,"2010-05-24",91,73,82,"M",66,71,0,17,"-","-"," ","M","M","M",0,29.39,30.01,6.3,13,7.9
1,"2010-05-25",88,69,79,17,62,68,0,14,423,1914," ",0,"M",0,0,29.33,30.04,5.1,13,7.8
2,"2010-05-25",87,71,79,"M",61,68,0,14,"-","-"," ","M","M","M",0,29.39,30.02,6.4,12,8.1
1,"2010-05-26",87,66,77,15,63,68,0,12,422,1915," ",0,"M",0,"  T",29.29,30,3.1,3,4.5
2,"2010-05-26",85,70,78,"M",62,68,0,13,"-","-","TS RA","M","M","M","  T",29.34,29.98,3.2,2,5.8
1,"2010-05-27",77,61,69,7,50,59,0,4,422,1916," ",0,"M",0,0,29.31,30.03,10.4,3,10.7
2,"2010-05-27",77,63,70,"M",50,59,0,5,"-","-"," ","M","M","M",0,29.36,30,12.7,2,13
1,"2010-05-28",79,57,68,5,50,58,0,3,421,1916," ",0,"M",0,0,29.28,30.01,7.8,3,8.4
2,"2010-05-28",76,59,68,"M",49,58,0,3,"-","-"," ","M","M","M",0,29.33,29.99,10,2,10.4
1,"2010-05-29",86,59,73,9,57,63,0,8,421,1917," ",0,"M",0,0,29.23,29.95,5,5,5.8
2,"2010-05-29",84,62,73,"M",57,63,0,8,"-","-"," ","M","M","M",0,29.28,29.93,4.5,7,5.6
1,"2010-05-30",91,61,76,12,59,66,0,11,420,1918," ",0,"M",0,0,29.16,29.88,4.6,18,5.9
2,"2010-05-30",91,64,78,"M",59,66,0,13,"-","-","TSRA","M","M","M","  T",29.23,29.86,4.5,17,6.1
1,"2010-05-31",81,66,74,10,64,67,0,9,420,1919,"TSRA RA BR",0,"M",0,0.26,29.15,29.86,0.6,24,4.7
2,"2010-05-31",84,65,75,"M",65,67,0,10,"-","-","TSRA RA BR HZ","M","M","M",1.57,29.21,29.85,1.6,19,4.8
1,"2010-06-01",85,63,74,10,62,67,0,9,419,1920,"BR HZ",0,"M",0,0,29.1,29.84,5.1,19,6
2,"2010-06-01",84,65,75,"M",63,67,0,10,"-","-","BR HZ","M","M","M",0,29.17,29.83,4.4,17,6.1
